,merge.labels.M3,Lung,Liver,Right Ovary,Left Ovary,Adrenal
1,bar|1 9115,11,13,0,0,0
2,bar|11 16195,2,0,0,0,0
3,bar|15 4514,3,0,0,0,0
4,bar|17 4877,155,0,0,0,1
5,bar|19 4445,13,0,0,0,0
6,bar|20 4536,1,0,0,0,0
7,bar|20 11570,48740,40,21,0,0
8,bar|20 14616,1,0,0,0,0
9,bar|25 9981,8053,0,0,0,0
10,bar|26 1881,1,0,0,0,0
11,bar|26 4069,13563,0,0,0,1
12,bar|30 9802,1,0,0,0,0
13,bar|33 327,1,0,0,0,0
14,bar|33 4622,1,0,0,0,0
15,bar|33 5121,1,0,0,0,0
16,bar|33 9576,1,0,0,0,0
17,bar|33 10786,96952,2,0,1,0
18,bar|33 13131,1,0,0,0,0
19,bar|33 14490,1,0,0,0,0
20,bar|37 13051,27,0,0,0,0
21,bar|38 6794,16318,0,34,0,1
22,bar|38 8074,1,0,0,0,0
23,bar|39 14723,5,0,107,3,1
24,bar|40 10695,22,0,0,3,0
25,bar|47 1559,49,956,181,101,7889
26,bar|52 8029,3,0,0,0,0
27,bar|53 10837,37,0,0,0,0
28,bar|54 13842,21,0,0,0,0
29,bar|55 4775,30,0,0,0,0
30,bar|55 9316,14,0,0,0,0
31,bar|57 10939,8102,0,0,0,0
32,bar|66 13431,821,2,1185,8,1
33,bar|68 6842,19,0,0,0,0
34,bar|68 15946,195,0,0,0,0
35,bar|73 15665,123,0,0,0,0
36,bar|78 3091,143,0,0,0,0
37,bar|80 11888,1,0,0,0,0
38,bar|81 1625,1,0,0,0,0
39,bar|84 2143,7,0,157,45,346
40,bar|85 1010,62,0,0,0,0
41,bar|85 5071,1798,0,0,0,1
42,bar|85 9094,917,1248,134315,988,3704
43,bar|86 3825,1146,0,0,0,0
44,bar|91 1902,1903,0,0,0,0
45,bar|93 2326,1,0,0,0,0
46,bar|93 9095,6124,3333,2822861,9306,13970
47,bar|99 14374,8,0,0,0,0
48,bar|100 8989,7,0,0,0,0
49,bar|104 15642,2435,0,0,0,0
50,bar|105 5597,408,0,0,0,0
51,bar|111 2791,10,0,0,0,0
52,bar|115 9084,10,0,10,0,0
53,bar|119 1572,3919,0,0,0,1
54,bar|121 15696,6,0,0,0,0
55,bar|122 6040,324,0,8,0,0
56,bar|131 16221,471,0,0,0,0
57,bar|132 8534,32,0,74,0,0
58,bar|133 26,41,0,0,0,0
59,bar|133 5721,1,0,0,0,0
60,bar|133 9631,1642,524240,6281,578,17762
61,bar|133 12422,183,0,0,0,0
62,bar|144 3375,1235,0,0,0,0
63,bar|144 5465,944,0,0,0,0
64,bar|145 6987,1,0,0,0,0
65,bar|145 13663,17,0,18,2,0
66,bar|145 14224,24,0,0,0,0
67,bar|146 5657,1,0,0,0,0
68,bar|147 12257,1,0,0,0,0
69,bar|148 10355,10,0,0,0,0
70,bar|155 9060,6,0,0,0,0
71,bar|160 20,165,0,0,0,0
